"airport_name","city","country","IATA","ICAO","region"
"Goroka","Goroka","Papua New Guinea","GKA","AYGA","Pacific/Port_Moresby"
"Madang","Madang","Papua New Guinea","MAG","AYMD","Pacific/Port_Moresby"
"Mount Hagen","Mount Hagen","Papua New Guinea","HGU","AYMH","Pacific/Port_Moresby"
"Nadzab","Nadzab","Papua New Guinea","LAE","AYNZ","Pacific/Port_Moresby"
"Port Moresby Jacksons Intl","Port Moresby","Papua New Guinea","POM","AYPY","Pacific/Port_Moresby"
"Wewak Intl","Wewak","Papua New Guinea","WWK","AYWK","Pacific/Port_Moresby"
"Narsarsuaq","Narssarssuaq","Greenland","UAK","BGBW","America/Godthab"
"Nuuk","Godthaab","Greenland","GOH","BGGH","America/Godthab"
"Sondre Stromfjord","Sondrestrom","Greenland","SFJ","BGSF","America/Godthab"
"Thule Air Base","Thule","Greenland","THU","BGTL","America/Thule"
"Akureyri","Akureyri","Iceland","AEY","BIAR","Atlantic/Reykjavik"
"Egilsstadir","Egilsstadir","Iceland","EGS","BIEG","Atlantic/Reykjavik"
"Hornafjordur","Hofn","Iceland","HFN","BIHN","Atlantic/Reykjavik"
"Husavik","Husavik","Iceland","HZK","BIHU","Atlantic/Reykjavik"
"Isafjordur","Isafjordur","Iceland","IFJ","BIIS","Atlantic/Reykjavik"
"Keflavik International Airport","Keflavik","Iceland","KEF","BIKF","Atlantic/Reykjavik"
"Patreksfjordur","Patreksfjordur","Iceland","PFJ","BIPA","Atlantic/Reykjavik"
"Reykjavik","Reykjavik","Iceland","RKV","BIRK","Atlantic/Reykjavik"
"Siglufjordur","Siglufjordur","Iceland","SIJ","BISI","Atlantic/Reykjavik"
"Vestmannaeyjar","Vestmannaeyjar","Iceland","VEY","BIVM","Atlantic/Reykjavik"
"Sault Ste Marie","Sault Sainte Marie","Canada","YAM","CYAM","America/Toronto"
"Winnipeg St Andrews","Winnipeg","Canada","YAV","CYAV","America/Winnipeg"
"Shearwater","Halifax","Canada","YAW","CYAW","America/Halifax"
"St Anthony","St. Anthony","Canada","YAY","CYAY","America/St_Johns"
"Tofino","Tofino","Canada","YAZ","CYAZ","America/Vancouver"
"Kugaaruk","Pelly Bay","Canada","YBB","CYBB","America/Edmonton"
"Baie Comeau","Baie Comeau","Canada","YBC","CYBC","America/Toronto"
"Bagotville","Bagotville","Canada","YBG","CYBG","America/Toronto"
"Baker Lake","Baker Lake","Canada","YBK","CYBK","America/Winnipeg"
"Campbell River","Campbell River","Canada","YBL","CYBL","America/Vancouver"
"Brandon Muni","Brandon","Canada","YBR","CYBR","America/Winnipeg"
"Cambridge Bay","Cambridge Bay","Canada","YCB","CYCB","America/Edmonton"
"Nanaimo","Nanaimo","Canada","YCD","CYCD","America/Vancouver"
"Castlegar","Castlegar","Canada","YCG","CYCG","America/Vancouver"
"Miramichi","Chatham","Canada","YCH","CYCH","America/Halifax"
"Charlo","Charlo","Canada","YCL","CYCL","America/Halifax"
"Kugluktuk","Coppermine","Canada","YCO","CYCO","America/Edmonton"
"Coronation","Coronation","Canada","YCT","CYCT","America/Edmonton"
"Chilliwack","Chilliwack","Canada","YCW","CYCW","America/Vancouver"
"Clyde River","Clyde River","Canada","YCY","CYCY","America/Toronto"
"Fairmont Hot Springs","Coral Harbour","Canada","YZS","CYCZ","America/Coral_Harbour"
"Dawson City","Dawson","Canada","YDA","CYDA","America/Vancouver"
"Burwash","Burwash","Canada","YDB","CYDB","America/Vancouver"
"Princeton","Princeton","Canada","YDC","CYDC","America/Vancouver"
"Deer Lake","Deer Lake","Canada","YDF","CYDF","America/St_Johns"
"Dease Lake","Dease Lake","Canada","YDL","CYDL","America/Vancouver"
"Dauphin Barker","Dauphin","Canada","YDN","CYDN","America/Winnipeg"
"Dawson Creek","Dawson Creek","Canada","YDQ","CYDQ","America/Dawson_Creek"
"Edmonton Intl","Edmonton","Canada","YEG","CYEG","America/Edmonton"
"Arviat","Eskimo Point","Canada","YEK","CYEK","America/Winnipeg"
"Estevan","Estevan","Canada","YEN","CYEN","America/Regina"
"Edson","Edson","Canada","YET","CYET","America/Edmonton"
"Eureka","Eureka","Canada","YEU","CYEU","America/Winnipeg"
"Inuvik Mike Zubko","Inuvik","Canada","YEV","CYEV","America/Edmonton"
"Iqaluit","Iqaluit","Canada","YFB","CYFB","America/Toronto"
"Fredericton","Fredericton","Canada","YFC","CYFC","America/Halifax"
"Forestville","Forestville","Canada",NA,"CYFE","America/Toronto"
"Flin Flon","Flin Flon","Canada","YFO","CYFO","America/Winnipeg"
"Fort Resolution","Fort Resolution","Canada","YFR","CYFR","America/Edmonton"
"Fort Simpson","Fort Simpson","Canada","YFS","CYFS","America/Edmonton"
"Kingston","Kingston","Canada","YGK","CYGK","America/Toronto"
"La Grande Riviere","La Grande Riviere","Canada","YGL","CYGL","America/Toronto"
"Gaspe","Gaspe","Canada","YGP","CYGP","America/Toronto"
"Geraldton Greenstone Regional","Geraldton","Canada","YGQ","CYGQ","America/Toronto"
"Iles De La Madeleine","Iles De La Madeleine","Canada","YGR","CYGR","America/Toronto"
"Hudson Bay","Hudson Bay","Canada","YHB","CYHB","America/Regina"
"Dryden Rgnl","Dryden","Canada","YHD","CYHD","America/Winnipeg"
"Ulukhaktok Holman","Holman Island","Canada","YHI","CYHI","America/Edmonton"
"Gjoa Haven","Gjoa Haven","Canada","YHK","CYHK","America/Edmonton"
"Hamilton","Hamilton","Canada","YHM","CYHM","America/Toronto"
"St Hubert","Montreal","Canada","YHU","CYHU","America/Toronto"
"Hay River","Hay River","Canada","YHY","CYHY","America/Edmonton"
"Halifax Intl","Halifax","Canada","YHZ","CYHZ","America/Halifax"
"Atikokan Muni","Atikokan","Canada","YIB","CYIB","America/Coral_Harbour"
"Pond Inlet","Pond Inlet","Canada","YIO","CYIO","America/Toronto"
"St Jean","St. Jean","Canada","YJN","CYJN","America/Toronto"
"Stephenville","Stephenville","Canada","YJT","CYJT","America/St_Johns"
"Kamloops","Kamloops","Canada","YKA","CYKA","America/Vancouver"
"Waterloo","Waterloo","Canada","YKF","CYKF","America/Toronto"
"Schefferville","Schefferville","Canada","YKL","CYKL","America/Toronto"
"Kindersley","Kindersley","Canada","YKY","CYKY","America/Regina"
"Buttonville Muni","Toronto","Canada","YKZ","CYKZ","America/Toronto"
"Chapleau","Chapleau","Canada","YLD","CYLD","America/Toronto"
"Meadow Lake","Meadow Lake","Canada","YLJ","CYLJ","America/Regina"
"Lloydminster","Lloydminster","Canada","YLL","CYLL","America/Edmonton"
"Alert","Alert","Canada","YLT","CYLT","America/Toronto"
"Kelowna","Kelowna","Canada","YLW","CYLW","America/Vancouver"
"Mayo","Mayo","Canada","YMA","CYMA","America/Vancouver"
"Moose Jaw Air Vice Marshal C M Mcewen","Moose Jaw","Canada","YMJ","CYMJ","America/Regina"
"Fort Mcmurray","Fort Mcmurray","Canada","YMM","CYMM","America/Edmonton"
"Moosonee","Moosonee","Canada","YMO","CYMO","America/Toronto"
"Maniwaki","Maniwaki","Canada","YMW","CYMW","America/Toronto"
"Montreal Intl Mirabel","Montreal","Canada","YMX","CYMX","America/Toronto"
"Natashquan","Natashquan","Canada","YNA","CYNA","America/Toronto"
"Gatineau","Gatineau","Canada","YND","CYND","America/Toronto"
"Matagami","Matagami","Canada","YNM","CYNM","America/Toronto"
"Old Crow","Old Crow","Canada","YOC","CYOC","America/Vancouver"
"Cold Lake","Cold Lake","Canada","YOD","CYOD","America/Edmonton"
"High Level","High Level","Canada","YOJ","CYOJ","America/Edmonton"
"Ottawa Macdonald Cartier Intl","Ottawa","Canada","YOW","CYOW","America/Toronto"
"Prince Albert Glass Field","Prince Albert","Canada","YPA","CYPA","America/Regina"
"Peace River","Peace River","Canada","YPE","CYPE","America/Edmonton"
"Southport","Portage-la-prairie","Canada","YPG","CYPG","America/Winnipeg"
"Pitt Meadows","Pitt Meadows","Canada",NA,"CYPK","America/Vancouver"
"Pickle Lake","Pickle Lake","Canada","YPL","CYPL","America/Coral_Harbour"
"Port Menier","Port Menier","Canada","YPN","CYPN","America/Toronto"
"Peterborough","Peterborough","Canada","YPQ","CYPQ","America/Toronto"
"Prince Rupert","Prince Pupert","Canada","YPR","CYPR","America/Vancouver"
"Fort Chipewyan","Fort Chipewyan","Canada","YPY","CYPY","America/Edmonton"
"Muskoka","Muskoka","Canada","YQA","CYQA","America/Toronto"
"Quebec Jean Lesage Intl","Quebec","Canada","YQB","CYQB","America/Toronto"
"Red Deer Regional","Red Deer Industrial","Canada","YQF","CYQF","America/Edmonton"
"Windsor","Windsor","Canada","YQG","CYQG","America/Toronto"
"Watson Lake","Watson Lake","Canada","YQH","CYQH","America/Vancouver"
"Kenora","Kenora","Canada","YQK","CYQK","America/Winnipeg"
"Lethbridge","Lethbridge","Canada","YQL","CYQL","America/Edmonton"
"Greater Moncton Intl","Moncton","Canada","YQM","CYQM","America/Halifax"
"Comox","Comox","Canada","YQQ","CYQQ","America/Vancouver"
"Regina Intl","Regina","Canada","YQR","CYQR","America/Regina"
"Thunder Bay","Thunder Bay","Canada","YQT","CYQT","America/Toronto"
"Grande Prairie","Grande Prairie","Canada","YQU","CYQU","America/Edmonton"
"Yorkton Muni","Yorkton","Canada","YQV","CYQV","America/Regina"
"North Battleford","North Battleford","Canada","YQW","CYQW","America/Regina"
"Gander Intl","Gander","Canada","YQX","CYQX","America/St_Johns"
"Sydney","Sydney","Canada","YQY","CYQY","America/Halifax"
"Quesnel","Quesnel","Canada","YQZ","CYQZ","America/Vancouver"
"Resolute Bay","Resolute","Canada","YRB","CYRB","America/Winnipeg"
"Riviere Du Loup","Riviere Du Loup","Canada","YRI","CYRI","America/Toronto"
"Roberval","Roberval","Canada","YRJ","CYRJ","America/Toronto"
"Rocky Mountain House","Rocky Mountain House","Canada","YRM","CYRM","America/Edmonton"
"Rankin Inlet","Rankin Inlet","Canada","YRT","CYRT","America/Winnipeg"
"Sudbury","Sudbury","Canada","YSB","CYSB","America/Toronto"
"Sherbrooke","Sherbrooke","Canada","YSC","CYSC","America/Toronto"
"Saint John","St. John","Canada","YSJ","CYSJ","America/Halifax"
"Fort Smith","Fort Smith","Canada","YSM","CYSM","America/Edmonton"
"Nanisivik","Nanisivik","Canada","YSR","CYSR","America/Toronto"
"Summerside","Summerside","Canada","YSU","CYSU","America/Halifax"
"Sachs Harbour","Sachs Harbour","Canada","YSY","CYSY","America/Edmonton"
"Cape Dorset","Cape Dorset","Canada","YTE","CYTE","America/Toronto"
"Thompson","Thompson","Canada","YTH","CYTH","America/Winnipeg"
"Trenton","Trenton","Canada","YTR","CYTR","America/Toronto"
"Timmins","Timmins","Canada","YTS","CYTS","America/Toronto"
"City Centre","Toronto","Canada","YTZ","CYTZ","America/Toronto"
"Tuktoyaktuk","Tuktoyaktuk","Canada","YUB","CYUB","America/Edmonton"
"Pierre Elliott Trudeau Intl","Montreal","Canada","YUL","CYUL","America/Toronto"
"Repulse Bay","Repulse Bay","Canada","YUT","CYUT","America/Winnipeg"
"Hall Beach","Hall Beach","Canada","YUX","CYUX","America/Toronto"
"Rouyn Noranda","Rouyn","Canada","YUY","CYUY","America/Toronto"
"La Ronge","La Ronge","Canada","YVC","CYVC","America/Regina"
"Vermilion","Vermillion","Canada","YVG","CYVG","America/Edmonton"
"Qikiqtarjuaq","Broughton Island","Canada","YVM","CYVM","America/Toronto"
"Val D Or","Val D'or","Canada","YVO","CYVO","America/Toronto"
"Kuujjuaq","Quujjuaq","Canada","YVP","CYVP","America/Toronto"
"Norman Wells","Norman Wells","Canada","YVQ","CYVQ","America/Edmonton"
"Vancouver Intl","Vancouver","Canada","YVR","CYVR","America/Vancouver"
"Buffalo Narrows","Buffalo Narrows","Canada","YVT","CYVT","America/Regina"
"Wiarton","Wiarton","Canada","YVV","CYVV","America/Toronto"
"Petawawa","Petawawa","Canada","YWA","CYWA","America/Toronto"
"Winnipeg Intl","Winnipeg","Canada","YWG","CYWG","America/Winnipeg"
"Wabush","Wabush","Canada","YWK","CYWK","America/Halifax"
"Williams Lake","Williams Lake","Canada","YWL","CYWL","America/Vancouver"
"Wrigley","Wrigley","Canada","YWY","CYWY","America/Edmonton"
"Canadian Rockies Intl","Cranbrook","Canada","YXC","CYXC","America/Edmonton"
"Edmonton City Centre","Edmonton","Canada","YXD","CYXD","America/Edmonton"
"Saskatoon J G Diefenbaker Intl","Saskatoon","Canada","YXE","CYXE","America/Regina"
"Medicine Hat","Medicine Hat","Canada","YXH","CYXH","America/Edmonton"
"Fort St John","Fort Saint John","Canada","YXJ","CYXJ","America/Dawson_Creek"
"Sioux Lookout","Sioux Lookout","Canada","YXL","CYXL","America/Winnipeg"
"Pangnirtung","Pangnirtung","Canada","YXP","CYXP","America/Toronto"
"Timiskaming Rgnl","Earlton","Canada","YXR","CYXR","America/Toronto"
"Prince George","Prince George","Canada","YXS","CYXS","America/Vancouver"
"Terrace","Terrace","Canada","YXT","CYXT","America/Vancouver"
"London","London","Canada","YXU","CYXU","America/Toronto"
"Abbotsford","Abbotsford","Canada","YXX","CYXX","America/Vancouver"
"Whitehorse Intl","Whitehorse","Canada","YXY","CYXY","America/Vancouver"
"North Bay","North Bay","Canada","YYB","CYYB","America/Toronto"
"Calgary Intl","Calgary","Canada","YYC","CYYC","America/Edmonton"
"Smithers","Smithers","Canada","YYD","CYYD","America/Vancouver"
"Fort Nelson","Fort Nelson","Canada","YYE","CYYE","America/Vancouver"
"Penticton","Penticton","Canada","YYF","CYYF","America/Vancouver"
"Charlottetown","Charlottetown","Canada","YYG","CYYG","America/Halifax"
"Taloyoak","Spence Bay","Canada","YYH","CYYH","America/Edmonton"
"Victoria Intl","Victoria","Canada","YYJ","CYYJ","America/Vancouver"
"Lynn Lake","Lynn Lake","Canada","YYL","CYYL","America/Winnipeg"
"Swift Current","Swift Current","Canada","YYN","CYYN","America/Regina"
"Churchill","Churchill","Canada","YYQ","CYYQ","America/Winnipeg"
"Goose Bay","Goose Bay","Canada","YYR","CYYR","America/Halifax"
"St Johns Intl","St. John's","Canada","YYT","CYYT","America/St_Johns"
"Kapuskasing","Kapuskasing","Canada","YYU","CYYU","America/Toronto"
"Armstrong","Armstrong","Canada","YYW","CYYW","America/Toronto"
"Mont Joli","Mont Joli","Canada","YYY","CYYY","America/Toronto"
"Lester B Pearson Intl","Toronto","Canada","YYZ","CYYZ","America/Toronto"
"Downsview","Toronto","Canada","YZD","CYZD","America/Toronto"
"Gore Bay Manitoulin","Gore Bay","Canada","YZE","CYZE","America/Toronto"
"Yellowknife","Yellowknife","Canada","YZF","CYZF","America/Edmonton"
"Slave Lake","Slave Lake","Canada","YZH","CYZH","America/Edmonton"
"Sandspit","Sandspit","Canada","YZP","CYZP","America/Vancouver"
"Chris Hadfield","Sarnia","Canada","YZR","CYZR","America/Toronto"
"Port Hardy","Port Hardy","Canada","YZT","CYZT","America/Vancouver"
"Whitecourt","Whitecourt","Canada","YZU","CYZU","America/Edmonton"
"Sept Iles","Sept-iles","Canada","YZV","CYZV","America/Toronto"
"Teslin","Teslin","Canada","YZW","CYZW","America/Vancouver"
"Greenwood","Greenwood","Canada","YZX","CYZX","America/Halifax"
"Faro","Faro","Canada","ZFA","CZFA","America/Vancouver"
"Fort Mcpherson","Fort Mcpherson","Canada","ZFM","CZFM","America/Edmonton"
"Blida","Blida","Algeria",NA,"DAAB","Africa/Algiers"
"Bou Saada","Bou Saada","Algeria",NA,"DAAD","Africa/Algiers"
"Soummam","Bejaja","Algeria","BJA","DAAE","Africa/Algiers"
"Houari Boumediene","Algier","Algeria","ALG","DAAG","Africa/Algiers"
"Tiska","Djanet","Algeria","DJG","DAAJ","Africa/Algiers"
"Boufarik","Boufarik","Algeria","QFD","DAAK","Africa/Algiers"
"Reggane","Reggan","Algeria",NA,"DAAN","Africa/Algiers"
"Illizi Takhamalt","Illizi","Algeria","VVZ","DAAP","Africa/Algiers"
"Ain Oussera","Ain Oussera","Algeria",NA,"DAAQ","Africa/Algiers"
"Tamanrasset","Tamanrasset","Algeria","TMR","DAAT","Africa/Algiers"
"Jijel","Jijel","Algeria","GJL","DAAV","Africa/Algiers"
"Mecheria","Mecheria","Algeria",NA,"DAAY","Africa/Algiers"
"Relizane","Relizane","Algeria",NA,"DAAZ","Africa/Algiers"
"Annaba","Annaba","Algeria","AAE","DABB","Africa/Algiers"
"Mohamed Boudiaf Intl","Constantine","Algeria","CZL","DABC","Africa/Algiers"
"Cheikh Larbi Tebessi","Tebessa","Algeria","TEE","DABS","Africa/Algiers"
"Hassi R Mel","Tilrempt","Algeria","HRM","DAFH","Africa/Algiers"
"Bou Chekif","Tiaret","Algeria","TID","DAOB","Africa/Algiers"
"Bou Sfer","Bou Sfer","Algeria",NA,"DAOE","Africa/Algiers"
"Tindouf","Tindouf","Algeria","TIN","DAOF","Africa/Algiers"
"Ech Cheliff","Ech-cheliff","Algeria","QAS","DAOI","Africa/Algiers"
"Tafaraoui","Oran","Algeria","TAF","DAOL","Africa/Algiers"
"Zenata","Tlemcen","Algeria","TLM","DAON","Africa/Algiers"
"Es Senia","Oran","Algeria","ORN","DAOO","Africa/Algiers"
"Sidi Bel Abbes","Sidi Bel Abbes","Algeria",NA,"DAOS","Africa/Algiers"
"Ghriss","Ghriss","Algeria","MUW","DAOV","Africa/Algiers"
"Touat Cheikh Sidi Mohamed Belkebir","Adrar","Algeria","AZR","DAUA","Africa/Algiers"
"Biskra","Biskra","Algeria","BSK","DAUB","Africa/Algiers"
"El Golea","El Golea","Algeria","ELG","DAUE","Africa/Algiers"
"Noumerat","Ghardaia","Algeria","GHA","DAUG","Africa/Algiers"
"Oued Irara","Hassi Messaoud","Algeria","HME","DAUH","Africa/Algiers"
"In Salah","In Salah","Algeria","INZ","DAUI","Africa/Algiers"
"Sidi Mahdi","Touggourt","Algeria","TGR","DAUK","Africa/Algiers"
"Laghouat","Laghouat","Algeria","LOO","DAUL","Africa/Algiers"
"Timimoun","Timimoun","Algeria","TMX","DAUT","Africa/Algiers"
"Ouargla","Ouargla","Algeria","OGX","DAUU","Africa/Algiers"
"In Amenas","Zarzaitine","Algeria","IAM","DAUZ","Africa/Algiers"
"Cadjehoun","Cotonou","Benin","COO","DBBB","Africa/Porto-Novo"
"Ouagadougou","Ouagadougou","Burkina Faso","OUA","DFFD","Africa/Ouagadougou"
"Bobo Dioulasso","Bobo-dioulasso","Burkina Faso","BOY","DFOO","Africa/Ouagadougou"
"Kotoka Intl","Accra","Ghana","ACC","DGAA","Africa/Accra"
"Tamale","Tamale","Ghana","TML","DGLE","Africa/Accra"
"Wa","Wa","Ghana",NA,"DGLW","Africa/Accra"
"Sunyani","Sunyani","Ghana","NYI","DGSN","Africa/Accra"
"Takoradi","Takoradi","Ghana","TKD","DGTK","Africa/Accra"
"Abidjan Felix Houphouet Boigny Intl","Abidjan","Cote d'Ivoire","ABJ","DIAP","Africa/Abidjan"
"Bouake","Bouake","Cote d'Ivoire","BYK","DIBK","Africa/Abidjan"
"Daloa","Daloa","Cote d'Ivoire","DJO","DIDL","Africa/Abidjan"
"Korhogo","Korhogo","Cote d'Ivoire","HGO","DIKO","Africa/Abidjan"
"Man","Man","Cote d'Ivoire","MJC","DIMN","Africa/Abidjan"
"San Pedro","San Pedro","Cote d'Ivoire","SPY","DISP","Africa/Abidjan"
"Yamoussoukro","Yamoussoukro","Cote d'Ivoire","ASK","DIYO","Africa/Abidjan"
"Nnamdi Azikiwe Intl","Abuja","Nigeria","ABV","DNAA","Africa/Lagos"
"Akure","Akure","Nigeria","AKR","DNAK","Africa/Lagos"
"Benin","Benin","Nigeria","BNI","DNBE","Africa/Lagos"
"Calabar","Calabar","Nigeria","CBQ","DNCA","Africa/Lagos"
"Enugu","Enugu","Nigeria","ENU","DNEN","Africa/Lagos"
"Gusau","Gusau","Nigeria","QUS","DNGU","Africa/Lagos"
"Ibadan","Ibadan","Nigeria","IBA","DNIB","Africa/Lagos"
"Ilorin","Ilorin","Nigeria","ILR","DNIL","Africa/Lagos"
"Yakubu Gowon","Jos","Nigeria","JOS","DNJO","Africa/Lagos"
"Kaduna","Kaduna","Nigeria","KAD","DNKA","Africa/Lagos"
"Mallam Aminu Intl","Kano","Nigeria","KAN","DNKN","Africa/Lagos"
"Maiduguri","Maiduguri","Nigeria","MIU","DNMA","Africa/Lagos"
"Makurdi","Makurdi","Nigeria","MDI","DNMK","Africa/Lagos"
"Murtala Muhammed","Lagos","Nigeria","LOS","DNMM","Africa/Lagos"
"Minna New","Minna","Nigeria","MXJ","DNMN","Africa/Lagos"
"Port Harcourt Intl","Port Hartcourt","Nigeria","PHC","DNPO","Africa/Lagos"
"Sadiq Abubakar Iii Intl","Sokoto","Nigeria","SKO","DNSO","Africa/Lagos"
"Yola","Yola","Nigeria","YOL","DNYO","Africa/Lagos"
"Zaria","Zaria","Nigeria","ZAR","DNZA","Africa/Lagos"
"Maradi","Maradi","Niger","MFQ","DRRM","Africa/Niamey"
"Diori Hamani","Niamey","Niger","NIM","DRRN","Africa/Niamey"
"Tahoua","Tahoua","Niger","THZ","DRRT","Africa/Niamey"
"Manu Dayak","Agadez","Niger","AJY","DRZA","Africa/Niamey"
"Dirkou","Dirkou","Niger",NA,"DRZD","Africa/Niamey"
"Diffa","Diffa","Niger",NA,"DRZF","Africa/Niamey"
"Zinder","Zinder","Niger","ZND","DRZR","Africa/Niamey"
"Habib Bourguiba Intl","Monastir","Tunisia","MIR","DTMB","Africa/Tunis"
"Carthage","Tunis","Tunisia","TUN","DTTA","Africa/Tunis"
"Sidi Ahmed Air Base","Bizerte","Tunisia",NA,"DTTB","Africa/Tunis"
"Remada","Remada","Tunisia",NA,"DTTD","Africa/Tunis"
"Gafsa","Gafsa","Tunisia","GAF","DTTF","Africa/Tunis"
"Gabes","Gabes","Tunisia","GAE","DTTG","Africa/Tunis"
"Borj El Amri","Bordj El Amri","Tunisia",NA,"DTTI","Africa/Tunis"
"Zarzis","Djerba","Tunisia","DJE","DTTJ","Africa/Tunis"
"El Borma","El Borma","Tunisia","EBM","DTTR","Africa/Tunis"
"Thyna","Sfax","Tunisia","SFA","DTTX","Africa/Tunis"
"Nefta","Tozeur","Tunisia","TOE","DTTZ","Africa/Tunis"
"Niamtougou International","Niatougou","Togo","LRL","DXNG","Africa/Lome"
"Gnassingbe Eyadema Intl","Lome","Togo","LFW","DXXX","Africa/Lome"
"Deurne","Antwerp","Belgium","ANR","EBAW","Europe/Brussels"
"Beauvechain","Beauvechain","Belgium",NA,"EBBE","Europe/Brussels"
"Kleine Brogel","Kleine Brogel","Belgium",NA,"EBBL","Europe/Brussels"
"Brussels Natl","Brussels","Belgium","BRU","EBBR","Europe/Brussels"
"Bertrix","Bertrix","Belgium",NA,"EBBX","Europe/Brussels"
"Brussels South","Charleroi","Belgium","CRL","EBCI","Europe/Brussels"
"Chievres Ab","Chievres","Belgium",NA,"EBCV","Europe/Brussels"
"Koksijde","Koksijde","Belgium",NA,"EBFN","Europe/Brussels"
"Florennes","Florennes","Belgium",NA,"EBFS","Europe/Brussels"
"Wevelgem","Kortrijk-vevelgem","Belgium","QKT","EBKT","Europe/Brussels"
"Liege","Liege","Belgium","LGG","EBLG","Europe/Brussels"
"Oostende","Ostend","Belgium","OST","EBOS","Europe/Brussels"
"Zutendaal","Zutendaal","Belgium",NA,"EBSL","Europe/Brussels"
"Sint Truiden","Sint-truiden","Belgium",NA,"EBST","Europe/Brussels"
"Saint Hubert Mil","St.-hubert","Belgium",NA,"EBSU","Europe/Brussels"
"Ursel","Ursel","Belgium",NA,"EBUL","Europe/Brussels"
"Weelde","Weelde","Belgium",NA,"EBWE","Europe/Brussels"
"Zoersel","Zoersel","Belgium",NA,"EBZR","Europe/Brussels"
"Bautzen","Bautzen","Germany","BBJ","EDAB","Europe/Berlin"
"Altenburg Nobitz","Altenburg","Germany","AOC","EDAC","Europe/Berlin"
"Dessau","Dessau","Germany",NA,"EDAD","Europe/Berlin"
"Eisenhuttenstadt","Eisenhuettenstadt","Germany",NA,"EDAE","Europe/Berlin"
"Putnam County Airport","Greencastle","United States","4I7",NA,"America/New_York"
"Grossenhain","Suhl","Germany",NA,"EDAK","Europe/Berlin"
"Merseburg","Muehlhausen","Germany",NA,"EDAM","Europe/Berlin"
"Halle Oppin","Halle","Germany",NA,"EDAQ","Europe/Berlin"
"Riesa Gohlis","Riesa","Germany",NA,"EDAU","Europe/Berlin"
"Rechlin Larz","Rechlin-laerz","Germany",NA,"EDAX","Europe/Berlin"
"Strausberg","Strausberg","Germany",NA,"EDAY","Europe/Berlin"
"Schonhagen","Schoenhagen","Germany",NA,"EDAZ","Europe/Berlin"
"Barth","Barth","Germany","BBH","EDBH","Europe/Berlin"
"Jena Schongleina","Jena","Germany",NA,"EDBJ","Europe/Berlin"
"Kyritz","Kyritz","Germany",NA,"EDBK","Europe/Berlin"
"Magdeburg","Magdeburg","Germany",NA,"EDBM","Europe/Berlin"
"Rothenburg Gorlitz","Rothenburg/ol","Germany",NA,"EDBR","Europe/Berlin"
"Anklam","Anklam","Germany",NA,"EDCA","Europe/Berlin"
"Cottbus Drewitz","Cottbus","Germany",NA,"EDCD","Europe/Berlin"
"Kamenz","Kamenz","Germany",NA,"EDCM","Europe/Berlin"
"Schonefeld","Berlin","Germany","SXF","EDDB","Europe/Berlin"
"Dresden","Dresden","Germany","DRS","EDDC","Europe/Berlin"
"Erfurt","Erfurt","Germany","ERF","EDDE","Europe/Berlin"
"Frankfurt Main","Frankfurt","Germany","FRA","EDDF","Europe/Berlin"
"Munster Osnabruck","Munster","Germany","FMO","EDDG","Europe/Berlin"
"Hamburg","Hamburg","Germany","HAM","EDDH","Europe/Berlin"
"Tempelhof","Berlin","Germany","THF","EDDI","Europe/Berlin"
"Koln Bonn","Cologne","Germany","CGN","EDDK","Europe/Berlin"
"Dusseldorf","Duesseldorf","Germany","DUS","EDDL","Europe/Berlin"
"Franz Josef Strauss","Munich","Germany","MUC","EDDM","Europe/Berlin"
"Nurnberg","Nuernberg","Germany","NUE","EDDN","Europe/Berlin"
"Leipzig Halle","Leipzig","Germany","LEJ","EDDP","Europe/Berlin"
"Saarbrucken","Saarbruecken","Germany","SCN","EDDR","Europe/Berlin"
"Stuttgart","Stuttgart","Germany","STR","EDDS","Europe/Berlin"
"Tegel","Berlin","Germany","TXL","EDDT","Europe/Berlin"
"Hannover","Hannover","Germany","HAJ","EDDV","Europe/Berlin"
"Neuenland","Bremen","Germany","BRE","EDDW","Europe/Berlin"
"Egelsbach","Egelsbach","Germany",NA,"EDFE","Europe/Berlin"
"Frankfurt Hahn","Hahn","Germany","HHN","EDFH","Europe/Berlin"
"Mannheim City","Mannheim","Germany","MHG","EDFM","Europe/Berlin"
"Allendorf Eder","Allendorf","Germany",NA,"EDFQ","Europe/Berlin"
"Worms","Worms","Germany",NA,"EDFV","Europe/Berlin"
"Mainz Finthen","Mainz","Germany",NA,"EDFZ","Europe/Berlin"
"Eisenach Kindel","Eisenach","Germany",NA,"EDGE","Europe/Berlin"
"Siegerland","Siegerland","Germany",NA,"EDGS","Europe/Berlin"
"Hamburg Finkenwerder","Hamburg","Germany","XFW","EDHI","Europe/Berlin"
"Kiel Holtenau","Kiel","Germany","KEL","EDHK","Europe/Berlin"
"Lubeck Blankensee","Luebeck","Germany","LBC","EDHL","Europe/Berlin"
"Dahlemer Binz","Dahlemer Binz","Germany",NA,"EDKV","Europe/Berlin"
"Meinerzhagen","Meinerzhagen","Germany",NA,"EDKZ","Europe/Berlin"
"Arnsberg Menden","Arnsberg","Germany","ZCA","EDLA","Europe/Berlin"
"Essen Mulheim","Essen","Germany","ESS","EDLE","Europe/Berlin"
"Bielefeld","Bielefeld","Germany",NA,"EDLI","Europe/Berlin"
