"airport_name","city","country","IATA","ICAO","region"
"Aviador C Campos","San Martin Des Andes","Argentina","CPC","SAZY","America/Cordoba"
"Conceicao Do Araguaia","Conceicao Do Araguaia","Brazil","CDJ","SBAA","America/Boa_Vista"
"Campo Delio Jardim De Mattos","Rio De Janeiro","Brazil",NA,"SBAF","America/Sao_Paulo"
"Amapa","Amapa","Brazil",NA,"SBAM","America/Fortaleza"
"Araraquara","Araracuara","Brazil","AQA","SBAQ","America/Sao_Paulo"
"Santa Maria","Aracaju","Brazil","AJU","SBAR","America/Fortaleza"
"Assis","Assis","Brazil",NA,"SBAS","America/Sao_Paulo"
"Alta Floresta","Alta Floresta","Brazil","AFL","SBAT","America/Campo_Grande"
"Aracatuba","Aracatuba","Brazil","ARU","SBAU","America/Sao_Paulo"
"Val De Cans Intl","Belem","Brazil","BEL","SBBE","America/Boa_Vista"
"Comandante Gustavo Kraemer","Bage","Brazil","BGX","SBBG","America/Sao_Paulo"
"Pampulha Carlos Drummond De Andrade","Belo Horizonte","Brazil","PLU","SBBH","America/Sao_Paulo"
"Bacacheri","Curitiba","Brazil","BFH","SBBI","America/Sao_Paulo"
"Major Brigadeiro Doorgal Borges","Barbacena","Brazil",NA,"SBBQ","America/Sao_Paulo"
"Presidente Juscelino Kubitschek","Brasilia","Brazil","BSB","SBBR","America/Sao_Paulo"
"Bauru","Bauru","Brazil","BAU","SBBU","America/Sao_Paulo"
"Boa Vista","Boa Vista","Brazil","BVB","SBBV","America/Boa_Vista"
"Barra Do Garcas","Barra Do Garcas","Brazil",NA,"SBBW","America/Campo_Grande"
"Cascavel","Cascavel","Brazil","CAC","SBCA","America/Sao_Paulo"
"Cachimbo","Itaituba","Brazil",NA,"SBCC","America/Boa_Vista"
"Tancredo Neves Intl","Belo Horizonte","Brazil","CNF","SBCF","America/Sao_Paulo"
"Campo Grande","Campo Grande","Brazil","CGR","SBCG","America/Campo_Grande"
"Chapeco","Chapeco","Brazil","XAP","SBCH","America/Sao_Paulo"
"Carolina","Carolina","Brazil","CLN","SBCI","America/Fortaleza"
"Forquilhinha","Criciuma","Brazil","CCM","SBCM","America/Sao_Paulo"
"Canoas","Porto Alegre","Brazil",NA,"SBCO","America/Sao_Paulo"
"Bartolomeu Lisandro","Campos","Brazil","CAW","SBCP","America/Sao_Paulo"
"Corumba Intl","Corumba","Brazil","CMG","SBCR","America/Campo_Grande"
"Afonso Pena","Curitiba","Brazil","CWB","SBCT","America/Sao_Paulo"
"Caravelas","Caravelas","Brazil","CRQ","SBCV","America/Fortaleza"
"Campo Dos Bugres","Caxias Do Sul","Brazil","CXJ","SBCX","America/Sao_Paulo"
"Marechal Rondon","Cuiaba","Brazil","CGB","SBCY","America/Campo_Grande"
"Cruzeiro do Sul","Cruzeiro do Sul","Brazil","CZS","SBCZ","America/Rio_Branco"
"Presidente Prudente","President Prudente","Brazil","PPB","SBDN","America/Sao_Paulo"
"Eduardo Gomes Intl","Manaus","Brazil","MAO","SBEG","America/Boa_Vista"
"Jacareacanga","Jacare-acanga","Brazil",NA,"SBEK","America/Boa_Vista"
"Sao Pedro Da Aldeia","Sao Pedro Da Aldeia","Brazil",NA,"SBES","America/Sao_Paulo"
"Cataratas Intl","Foz Do Iguacu","Brazil","IGU","SBFI","America/Sao_Paulo"
"Hercilio Luz","Florianopolis","Brazil","FLN","SBFL","America/Sao_Paulo"
"Fernando De Noronha","Fernando Do Noronha","Brazil","FEN","SBFN","America/Fortaleza"
"Fronteira","Fronteira","Brazil",NA,"SBFT","America/Sao_Paulo"
"Furnas","Alpinopolis","Brazil",NA,"SBFU","America/Sao_Paulo"
"Pinto Martins Intl","Fortaleza","Brazil","FOR","SBFZ","America/Fortaleza"
"Galeao Antonio Carlos Jobim","Rio De Janeiro","Brazil","GIG","SBGL","America/Sao_Paulo"
"Guajara Mirim","Guajara-mirim","Brazil",NA,"SBGM","America/Boa_Vista"
"Santa Genoveva","Goiania","Brazil","GYN","SBGO","America/Sao_Paulo"
"Embraer Unidade Gaviao Peixoto","Macae","Brazil",NA,"SBGP","America/Sao_Paulo"
"Guarulhos Gov Andre Franco Montouro","Sao Paulo","Brazil","GRU","SBGR","America/Sao_Paulo"
"Guaratingueta","Guaratingueta","Brazil",NA,"SBGW","America/Sao_Paulo"
"Altamira","Altamira","Brazil","ATM","SBHT","America/Boa_Vista"
"Itacoatiara","Itaituba","Brazil",NA,"SBIC","America/Boa_Vista"
"Itaituba","Itaituba","Brazil",NA,"SBIH","America/Boa_Vista"
